objectid,filename,youtubeid,vimeoid,identifier,location,title,creator,date,description,contents,extent,subject,level,series,subseries,type,format,language,itemhistory,access,rights,rightsstatement,,latitude,longitude
coll000044,https://github.com/upfifilmarchives/archivalcollections/blob/main/objects/UPFI_Series_B_Promotional%20Materials/2023_UPFIB000038_UPFilmInstituteCineAdarnaJuneJuly2005.jpg?raw=true,,,2023-UPFIB000038,"Shelf 1, Row 0, Box 7","UPFI Cine Adarna's film programme for June-July, 2005. ",U.P. Film Institute,2005-06,"A folded brochure of the UPFI Cine Adarna's film programme for June-July, 2005. ",The folded brochures has the following headings: 4 D New Isko! (UP Film Institute welcomes freshies); Pink Film Festival 2005; French Spring Film Festival 2005; Craze for Remakes;  Best Picture - All the year's finest films from top bets for the Oscars to toasts of festivals to critic's choice; Digital Screen; The 1st Cinemalaya Independent Film Festival; Screening schedules.,1 file envelope: 10 copies; folded: 4.375 in. x 8.5 in.; expanded: 13 in. x  8.5 in.; folded brochure,,File,Series B - Promotional Materials,B.01 - Brochures,Image; Folded Brochure ,image/jpeg,English,2024-02-01 (Record Created-AdrianM.),The file is open for research. For room-use only.,For Educational Use only.,http://archive.ovcrd.upd.edu.ph/wp-content/uploads/2011/12/2011-Revised-IPR-Policy-of-the-UP-System-reencoded-by-OVCRD-as-of-1-Dec-2011.pdf,,,
coll000045,https://github.com/upfifilmarchives/archivalcollections/blob/main/objects/UPFI_Series_B_Promotional%20Materials/2023_UPFIB000039_UPShots6FilmArtistsfromDiliman_Feb_5_8_2001.jpg?raw=true,,,2023-UPFIB000039,"Shelf 1, Row 0, Box 7","UP Shots 6 Film Artists from Diliman, February 5-8, 2001. ",U.P. Film Center,2001-02-05,"A brochure booklet of UP Shots 6 Film Artists from Diliman, February 5-8, 2001. ",The brochure includes the following headings: UPshots 6 - Film Artists from Diliman; Program of Activities; Films in Exhibition; Featured Filmmakers,1 file envelope: 10 copies; 10 pages per copy; 6.5 in. x 8.625 in.; brochure booklet,,File,Series B - Promotional Materials,B.01 - Brochures,Image; Brochure Booklet,image/jpeg,English,2024-02-01 (Record Created-AdrianM.),The file is open for research. For room-use only.,For Educational Use only.,http://archive.ovcrd.upd.edu.ph/wp-content/uploads/2011/12/2011-Revised-IPR-Policy-of-the-UP-System-reencoded-by-OVCRD-as-of-1-Dec-2011.pdf,,,
coll000046,https://github.com/upfifilmarchives/archivalcollections/blob/main/objects/UPFI_Series_B_Promotional%20Materials/2023_UPFIB000040_CinemalibreFilmSocietyAugust2000.jpg?raw=true,,,2023-UPFIB000040,"Shelf 1, Row 0, Box 7",UP Film Center Cinemalibre Film Society's film programme for August 2000.,U.P. Film Center,2000-08,A folded brochure of the UP Film Center Cinemalibre Film Society's film programme for August 2000.,The folded brochures has the following headings: Schedule of Screenings; Visual Vanguards; Cinema Libro;Prize Encounters with Philippine Cinema; Digital Cinema: Virtual Imagination; 'Theque Talk; The Best of Cinemanila,1 file envelope: 10 copies; folded: 4.25 in. x 7.625 in.; expanded: 8.5 in. x  15.25 in.; folded brochure,,File,Series B - Promotional Materials,B.01 - Brochures,Image; Folded Brochure ,image/jpeg,English,2024-02-01 (Record Created-AdrianM.),The file is open for research. For room-use only.,For Educational Use only.,http://archive.ovcrd.upd.edu.ph/wp-content/uploads/2011/12/2011-Revised-IPR-Policy-of-the-UP-System-reencoded-by-OVCRD-as-of-1-Dec-2011.pdf,,,
coll000047,https://github.com/upfifilmarchives/archivalcollections/blob/main/objects/UPFI_Series_B_Promotional%20Materials/2023_UPFIB000041_UPFilmCenterAustraliaFilmFestival513November1998.jpg?raw=true,,,2023-UPFIB000041,"Shelf 1, Row 0, Box 7","UP Film Center Australia Film Festival, 5-13 November, 1998.",U.P. Film Center,1998-11-05,"A folded brochure of the film programme Australia Film Festival, organized by Australian Embassy Manila and the UP Film Center, 5-13 November, 1998.",The folded brochures has the following headings: Films in Exhibition; Screening Schedule,1 file envelope: 2 copies; folded: 4.25 in. x 8.375 in.; expanded: 17.25 in. x  8.725 in.; folded brochure,,File,Series B - Promotional Materials,B.01 - Brochures,Image; Folded Brochure ,image/jpeg,English,2024-02-01 (Record Created-AdrianM.),The file is open for research. For room-use only.,For Educational Use only.,http://archive.ovcrd.upd.edu.ph/wp-content/uploads/2011/12/2011-Revised-IPR-Policy-of-the-UP-System-reencoded-by-OVCRD-as-of-1-Dec-2011.pdf,,,
coll000048,https://github.com/upfifilmarchives/archivalcollections/blob/main/objects/UPFI_Series_B_Promotional%20Materials/2023_UPFIB000042_CelebrateCanadaAugust1724312006.jpg?raw=true,,,2023-UPFIB000042,"Shelf 1, Row 0, Box 7","Celebrate Canada!, August 17, 24, 31, 2006.",U.P. Film Institute,2006-08-17,"An event flyer of Celebrate Canada!, August 17, 24, 31, 2006.",,"1 file envelope: 2 copies; 1 copy: 1 page, duplex printed; 4.625 in. x 8.1875 in; event flyer",,File,Series B - Promotional Materials,B.03 - Event Flyers,Image; Event Flyer,image/jpeg,English,2024-02-01 (Record Created-AdrianM.),The file is open for research. For room-use only.,For Educational Use only.,http://archive.ovcrd.upd.edu.ph/wp-content/uploads/2011/12/2011-Revised-IPR-Policy-of-the-UP-System-reencoded-by-OVCRD-as-of-1-Dec-2011.pdf,,,
coll000049,https://github.com/upfifilmarchives/archivalcollections/blob/main/objects/UPFI_Series_B_Promotional%20Materials/2023_UPFIB000043_MemoriesofaForgottenWarADocumentaryonthePhilippineAmericanWarof1899TuesdayJanuary8th.jpg?raw=true,,,2023-UPFIB000043,"Shelf 1, Row 0, Box 7","Memories of a Forgotten War: A Documentary on the Philippine-American War of 1899, Tuesday, January 8th, 2001-2004",U.P. Film Center,2001-2004,"An event flyer of Memories of a Forgotten War: A Documentary on the Philippine-American War of 1899, Tuesday, January 8th, 2001-2004",,"1 file envelope:3 copies; 1 copy: 1 page, duplex printed; 6 in. x 4.25 in; event flyer",,File,Series B - Promotional Materials,B.03 - Event Flyers,Image; Event Flyer,image/jpeg,English,2024-02-01 (Record Created-AdrianM.),The file is open for research. For room-use only.,For Educational Use only.,http://archive.ovcrd.upd.edu.ph/wp-content/uploads/2011/12/2011-Revised-IPR-Policy-of-the-UP-System-reencoded-by-OVCRD-as-of-1-Dec-2011.pdf,,,
coll000050,https://github.com/upfifilmarchives/archivalcollections/blob/main/objects/UPFI_Series_B_Promotional%20Materials/2023_UPFIB000044_TheFouthInternationalWomensFilmFestivalMarch151993.jpg?raw=true,,,2023-UPFIB000044,"Shelf 1, Row 0, Box 7","The Fouth International Womens Film Festival, March 1-5, 1993. ",U.P. Film Center,1993-03-01,"A folded brochure of The Fouth International Womens Film Festival, March 1-5, 1993. ","The folded brochures has the following headings: Symposium on ""Film as Liberative Art""; Film Festival Ceremonies.",1 file envelope: 7 copies; folded: 5.4375 in. x 8.375 in.; expanded: 10.875 in. x  8.375 in.; folded brochure,,File,Series B - Promotional Materials,B.01 - Brochures,Image; Folded Brochure ,image/jpeg,English,2024-02-01 (Record Created-AdrianM.),The file is open for research. For room-use only.,For Educational Use only.,http://archive.ovcrd.upd.edu.ph/wp-content/uploads/2011/12/2011-Revised-IPR-Policy-of-the-UP-System-reencoded-by-OVCRD-as-of-1-Dec-2011.pdf,,,
coll000051,https://github.com/upfifilmarchives/archivalcollections/blob/main/objects/UPFI_Series_B_Promotional%20Materials/2023_UPFIB000045_UPFilmCenterCinemalibreFilmSocietyPelikulaatangFilAmExperienceJuly2003.jpg?raw=true,,,2023-UPFIB000045,"Shelf 1, Row 0, Box 7","UP Film Center Cinemalibre Film Society, Pelikula at ang Fil-Am Experience, July 2003. ",U.P. Film Institute,2003-07,"A brochure booklet of UP Film Center Cinemalibre Film Society, Pelikula at ang Fil-Am Experience, July 2003. ",The brochure includes the following headings: Diamond Hollywood - Films of the 75th Oscars; Philippine Cinema Showcase: Blasts from the Past; Pelikula at ang Fil-Am Experience.,1 file envelope: 10 copies; 14 pages per copy; 5.5 in. x 8.5 in.; brochure booklet,,File,Series B - Promotional Materials,B.01 - Brochures,Image; Brochure Booklet,image/jpeg,English,2024-02-01 (Record Created-AdrianM.),The file is open for research. For room-use only.,For Educational Use only.,http://archive.ovcrd.upd.edu.ph/wp-content/uploads/2011/12/2011-Revised-IPR-Policy-of-the-UP-System-reencoded-by-OVCRD-as-of-1-Dec-2011.pdf,,,
coll000052,https://github.com/upfifilmarchives/archivalcollections/blob/main/objects/UPFI_Series_B_Promotional%20Materials/2023_UPFIB000046_ChinaFilmFestival2003611August2003.jpg?raw=true,,,2023-UPFIB000046,"Shelf 1, Row 0, Box 7","China Film Festival 2003, 06-11 August, 2003. ",U.P. Film Institute,2003-08-06,"A folded brochure of China Film Festival 2003, organized by the Embassy of the People's Republic of China, National Commission for CUlture and the Arts, and the University of the Philippines, 06-11 August, 2003. ",The folded brochures has the following headings:  Schedule of Screenings; Invitation Details,1 file envelope: 8 copies; folded: 8.375 in. x 6 in.; expanded: 8.375 in. x  12 in.; folded brochure,,File,Series B - Promotional Materials,B.01 - Brochures,Image; Folded Brochure ,image/jpeg,English,2024-02-01 (Record Created-AdrianM.),The file is open for research. For room-use only.,For Educational Use only.,http://archive.ovcrd.upd.edu.ph/wp-content/uploads/2011/12/2011-Revised-IPR-Policy-of-the-UP-System-reencoded-by-OVCRD-as-of-1-Dec-2011.pdf,,,
coll000053,https://github.com/upfifilmarchives/archivalcollections/blob/main/objects/UPFI_Series_B_Promotional%20Materials/2023_UPFIB000047_UPFilmInstituteandVilmaSantosSolidInternationalSisterStellaForumExhibitandScreeningMarso202009.jpg?raw=true,,,2023-UPFIB000047,"Shelf 1, Row 0, Box 7","UP Film Institute and Vilma Santos Solid International Sister Stella, Forum, Exhibit, and Screening, Marso 20, 2009. ",U.P. Film Institute,2009-03-20,"An event flyer of UP Film Institute and Vilma Santos Solid International Sister Stella, Forum, Exhibit, and Screening, Marso 20, 2009. ",,"1 file envelope: 10 copies; 1 copy: 1 page, one-page printed; 5.75 in. x 7.375 in; event flyer",,File,Series B - Promotional Materials,B.03 - Event Flyers,Image; Event Flyer,image/jpeg,English,2024-02-01 (Record Created-AdrianM.),The file is open for research. For room-use only.,For Educational Use only.,http://archive.ovcrd.upd.edu.ph/wp-content/uploads/2011/12/2011-Revised-IPR-Policy-of-the-UP-System-reencoded-by-OVCRD-as-of-1-Dec-2011.pdf,,,
coll000054,https://github.com/upfifilmarchives/archivalcollections/blob/main/objects/UPFI_Series_B_Promotional%20Materials/2023_UPFIB000048_UPFilmCenterCinemalibreFilmSocietySpanishFilmFestivalNovember13191992.jpg?raw=true,,,2023-UPFIB000048,"Shelf 1, Row 0, Box 7","UP Film Center Cinemalibre Film Society, Spanish Film Festival, November 13-19, 1992. ",U.P. Film Center,1992-11-13,"A folded brochure of the UP Film Center Cinemalibre Film Society Spanish Film Festival, November 13-19, 1992. ","The folded brochures has the following headings: About the Director; List of Films with schedule, information, and synopses",1 file envelope: 1 copy; folded: 4.625 in. x 8.375 in.; expanded: 8.375 in. x  13.625 in.; folded brochure,,File,Series B - Promotional Materials,B.01 - Brochures,Image; Folded Brochure ,image/jpeg,English,2024-02-01 (Record Created-AdrianM.),The file is open for research. For room-use only.,For Educational Use only.,http://archive.ovcrd.upd.edu.ph/wp-content/uploads/2011/12/2011-Revised-IPR-Policy-of-the-UP-System-reencoded-by-OVCRD-as-of-1-Dec-2011.pdf,,,
coll000055,https://github.com/upfifilmarchives/archivalcollections/blob/main/objects/UPFI_Series_B_Promotional%20Materials/2023_UPFIB000049_UPFilmCenterCinemalibreFilmSocietyFebruary2000.jpg?raw=true,,,2023-UPFIB000049,"Shelf 1, Row 0, Box 7","UP Film Center Cinemalibre Film Society, February 2000.",U.P. Film Center,2000-02,An event poster of the UP Film Center Cinemalibre Film Society film programme for February 2000.,,"1 file envelope: 10 copies; 1 copy: 1 page, duplex printed; 8.5 in. x 13 in; poster",,File,Series B - Promotional Materials,B.02 - Poster,Image; Poster,image/jpeg,English,2024-02-01 (Record Created-AdrianM.),The file is open for research. For room-use only.,For Educational Use only.,http://archive.ovcrd.upd.edu.ph/wp-content/uploads/2011/12/2011-Revised-IPR-Policy-of-the-UP-System-reencoded-by-OVCRD-as-of-1-Dec-2011.pdf,,,
coll000056,https://github.com/upfifilmarchives/archivalcollections/blob/main/objects/UPFI_Series_B_Promotional%20Materials/2023_UPFIB000050_UPFilmCenterCinemalibreFilmSocietyNovember1993.jpg?raw=true,,,2023-UPFIB000050,"Shelf 1, Row 0, Box 7","UP Film Center Cinemalibre Film Society, November 1993.",U.P. Film Center,1993-11,"A folded brochure of the UP Film Center Cinemalibre Film Society, November 1993.",The folded brochures has the following headings: Cinema Libro [line-up]; Hollywood Counterpoint,1 file envelope: 2 copies; folded: 3.75 in. x 8.5 in.; expanded: 8.5 in. x  11 in.; folded brochure,,File,Series B - Promotional Materials,B.01 - Brochures,Image; Folded Brochure ,image/jpeg,English,2024-02-01 (Record Created-AdrianM.),The file is open for research. For room-use only.,For Educational Use only.,http://archive.ovcrd.upd.edu.ph/wp-content/uploads/2011/12/2011-Revised-IPR-Policy-of-the-UP-System-reencoded-by-OVCRD-as-of-1-Dec-2011.pdf,,,
coll000057,https://github.com/upfifilmarchives/archivalcollections/blob/main/objects/UPFI_Series_B_Promotional%20Materials/2023_UPFIB000051_UPFilmCenterCinemalibreFilmSocietyPhilippineCinemaShowcaseTheGlobalEdgeJanuary2000.jpg?raw=true,,,2023-UPFIB000051,"Shelf 1, Row 0, Box 7","UP Film Center Cinemalibre Film Society, Philippine Cinema Showcase - The Global Edge, January 2000.",U.P. Film Center,2000-01,"A folded brochure of the UP Film Center Cinemalibre Film Society, Philippine Cinema Showcase - The Global Edge, January 2000.",The folded brochures has the following headings: Philippine Cinema Showcase - The Global Edge; Videotheque Screenings;Goldmine at the Stills: A Selection of Hollywood Topgrossers.,1 file envelope: 1 copy; folded: 4 in. x 8.5 in.; expanded: 15.875 in. x  8.5 in.; folded brochure,,File,Series B - Promotional Materials,B.01 - Brochures,Image; Folded Brochure ,image/jpeg,English,2024-02-01 (Record Created-AdrianM.),The file is open for research. For room-use only.,For Educational Use only.,http://archive.ovcrd.upd.edu.ph/wp-content/uploads/2011/12/2011-Revised-IPR-Policy-of-the-UP-System-reencoded-by-OVCRD-as-of-1-Dec-2011.pdf,,,
coll000058,https://github.com/upfifilmarchives/archivalcollections/blob/main/objects/UPFI_Series_B_Promotional%20Materials/2023_UPFIB000052_CinemalibreFilmSocietySept2000.jpg?raw=true,,,2023-UPFIB000052,"Shelf 1, Row 0, Box 7","UP Film Center Cinemalibre Film Society, Septemer 2000.",U.P. Film Center,2000-09,"A folded brochure of the UP Film Center Cinemalibre Film Society programme, Septemer 2000.",The folded brochures has the following headings: Schedule of Screenings; Heroes for all Seasons; 2nd Israeli Film Festival; EIGA SAI 2000: KaLeidoScOpe - A Festival of Japanese Contemporary Films; Oberhausen in Southeast Asia,1 file envelope: 10 copies; folded: 5.5 in. x 8.625 in.; expanded: 25.5 in. x  11 in.; folded brochure,,File,Series B - Promotional Materials,B.01 - Brochures,Image; Folded Brochure ,image/jpeg,English,2024-02-01 (Record Created-AdrianM.),The file is open for research. For room-use only.,For Educational Use only.,http://archive.ovcrd.upd.edu.ph/wp-content/uploads/2011/12/2011-Revised-IPR-Policy-of-the-UP-System-reencoded-by-OVCRD-as-of-1-Dec-2011.pdf,,,
coll000059,https://github.com/upfifilmarchives/archivalcollections/blob/main/objects/UPFI_Series_B_Promotional%20Materials/2023_UPFIB000053_UPFilmCenterCinemalibreFilmSocietyTheLaunchingoftheFilmMuseumofMovingImagesDecember1995.jpg?raw=true,,,2023-UPFIB000053,"Shelf 1, Row 0, Box 7","UP Film Center Cinemalibre Film Society, December 1995. ",U.P. Film Center,1995-12,An event poster of the UP Film Center Cinemalibre Film Society December 1995.,Includes the following headings: The Launching of the Film Museum of Moving Images; Film Classics of Gifted Actresses from the British Cinema; Films to be screened.,"1 file envelope: 10 copies; 1 copy: 1 page, one-page printed; 18.5 in. x 24.5 in; poster",,File,Series B - Promotional Materials,B.02 - Poster,Image; Poster,image/jpeg,English,2024-02-01 (Record Created-AdrianM.),The file is open for research. For room-use only.,For Educational Use only.,http://archive.ovcrd.upd.edu.ph/wp-content/uploads/2011/12/2011-Revised-IPR-Policy-of-the-UP-System-reencoded-by-OVCRD-as-of-1-Dec-2011.pdf,,,
coll000060,https://github.com/upfifilmarchives/archivalcollections/blob/main/objects/UPFI_Series_B_Promotional%20Materials/2023_UPFIB000054_UPFilmCenterCinemalibreFilmSocietyPeliculaEspanolaSeptember2001.jpg?raw=true,,,2023-UPFIB000054,"Shelf 1, Row 0, Box 7","UP Film Center Cinemalibre Film Society, Pelicula Espanola, September 2001. ",U.P. Film Center,2001-09,"A folded brochure of the UP Film Center Cinemalibre Film Society, Pelicula Espanola, September 2001. ",The folded brochures has the following headings: Pelikula Espanola; In Love and War; Isang Pag-Alaala sa Kaarawan ni Bernal; Screening Schedule.,1 file envelope: 10 copies; folded: 5.5 in. x 8.375 in.; expanded: 22 in. x  8.375 in.; folded brochure,,File,Series B - Promotional Materials,B.01 - Brochures,Image; Folded Brochure ,image/jpeg,English,2024-02-01 (Record Created-AdrianM.),The file is open for research. For room-use only.,For Educational Use only.,http://archive.ovcrd.upd.edu.ph/wp-content/uploads/2011/12/2011-Revised-IPR-Policy-of-the-UP-System-reencoded-by-OVCRD-as-of-1-Dec-2011.pdf,,,
coll000061,https://github.com/upfifilmarchives/archivalcollections/blob/main/objects/UPFI_Series_B_Promotional%20Materials/2023_UPFIB000055_UPFilmCenterCinemalibreFilmSocietyJanuary2001.jpg?raw=true,,,2023-UPFIB000055,"Shelf 1, Row 0, Box 7","UP Film Center Cinemalibre Film Society, January 2001. ",U.P. Film Center,2001-01,"A folded brochure of the UP Film Center Cinemalibre Film Society, January 2001. ",The folded brochures has the following headings: Philippine Cinema Showcase; Commedy Channel; Duel of the Sexes; Hell and Earth; Special Cadet's Week Presentation; Screening Schedule.,1 file envelope: 10 copies; folded: 4.125 in. x 8.5 in.; expanded: 8.5 in. x 16.5 in.; folded brochure,,File,Series B - Promotional Materials,B.01 - Brochures,Image; Folded Brochure ,image/jpeg,English,2024-02-01 (Record Created-AdrianM.),The file is open for research. For room-use only.,For Educational Use only.,http://archive.ovcrd.upd.edu.ph/wp-content/uploads/2011/12/2011-Revised-IPR-Policy-of-the-UP-System-reencoded-by-OVCRD-as-of-1-Dec-2011.pdf,,,
